Genus,average,overall,sd,ratio,ava,avb,ord,cusum,p,cumulative
PALSA-743,4.947237385944966e-5,0.7244038803945835,5.5128833182813396e-05,0.8973956277179623,9.2897e-5,1.7686057692307698e-5,2338,0.9759450037970201,0.001,0.6809254929728185
Palsa-1400,4.945221191231907e-5,0.7244038803945835,7.352163653374565e-5,0.6726212070867197,8.749533333333334e-5,1.803728846153847e-5,169,0.8960116106490713,0.001,0.6809749451847308
JADZEF01,4.944852958442703e-5,0.7244038803945835,4.210039117217312e-5,1.1745384830797196,8.975516666666667e-5,1.936421153846152e-5,714,0.8110045905967967,0.001,0.6810243937143152
BOG-1363,4.938516695629352e-5,0.7244038803945835,3.865996860450181e-5,1.2774238764007375,9.513736666666667e-5,1.0951192307692302e-5,2766,0.49757510181557124,0.001,0.6810737788812715
Geomobilibacter,4.9321794783673436e-5,0.7244038803945835,1.7860377352183577e-4,0.2761520308956039,8.389519999999998e-5,1.67255576923077e-5,4622,0.9941734520581019,0.543,0.6811231006760552
JAUYVI01,4.9311713781226266e-5,0.7244038803945835,5.3385330608704e-5,0.923694078859679,9.043683333333334e-5,1.7493115384615382e-5,824,0.8726017129846267,0.001,0.6811724123898364
Lustribacter,4.930663118067139e-5,0.7244038803945835,8.84009388142382e-5,0.5577613975829164,9.486956666666665e-5,6.501442307692307e-6,1256,0.9674761816300796,0.001,0.681221719021017
JACPVI01,4.920827126348451e-5,0.7244038803945835,4.5679366207648144e-5,1.0772538095164184,9.706443333333333e-5,4.745884615384614e-6,618,0.783303919230276,0.001,0.6812709272922806
Arenibaculum,4.918782070418536e-5,0.7244038803945835,4.047734136958434e-5,1.215193958888473,9.60628e-5,2.054626923076924e-5,4579,0.4720233501529018,0.001,0.6813201151129847
Lignipirellula,4.917809191959672e-5,0.7244038803945835,4.657655581747039e-5,1.055855055327009,9.285453333333334e-5,1.5982576923076935e-5,1055,0.8783065542005446,0.001,0.6813692932049044
VGRB01,4.896751691345107e-5,0.7244038803945835,5.2991110863243066e-5,0.9240703981432679,9.035776666666666e-5,1.962651923076924e-5,1953,0.9749085126061436,0.001,0.6814182607218178
Aestuariivirga,4.895465230688873e-5,0.7244038803945835,1.0573956880231859e-4,0.46297382201747056,9.373176666666666e-5,6.64661538461538e-6,2137,0.9340135591210664,0.999,0.6814672153741247
Azoarcus,4.8931095981592286e-5,0.7244038803945835,3.847710766799147e-5,1.2716937147096774,9.486193333333333e-5,6.6487307692307696e-6,6083,0.9350748805420712,0.001,0.6815161464701063
Paucibacter,4.890824734262304e-5,0.7244038803945835,5.47691185216603e-5,0.8929894923045114,7.672156666666666e-5,3.518973076923075e-5,222,0.8996928220586681,0.021,0.6815650547174489
Geomonas,4.8878388864218876e-5,0.7244038803945835,4.706348954185351e-5,1.0385627869933312,9.424246666666666e-5,7.138961538461533e-6,3645,0.9474719836449296,1,0.6816139331063131
SHVW01,4.8850491427766835e-5,0.7244038803945835,4.7637376873588724e-5,1.025465603561616,9.394e-5,7.374038461538459e-6,832,0.9134484552371074,0.001,0.6816627835977409
JAPLMQ01,4.877402434091618e-5,0.7244038803945835,4.445757914059233e-5,1.0970913235440363,8.57199e-5,2.9973999999999998e-5,3880,0.9653906545689322,0.001,0.6817115576220818
Ga0077530,4.872442437467983e-5,0.7244038803945835,5.417097616934294e-5,0.8994562738238879,9.74488e-5,0,918,0.7335723559834241,0.51,0.6817602820464564
CAG-269,4.863287248388106e-5,0.7244038803945835,2.4986961454238655e-4,0.1946329991861865,9.153333333333334e-6,8.916853846153844e-5,2214,0.9892953789149912,0.492,0.6818089149189404
RBG-13-43-22,4.860491384505645e-5,0.7244038803945835,1.4026127760262421e-4,0.34653123567546257,9.720983333333333e-5,0,7633,0.9996125315222851,0.812,0.6818575198327854
Derxia,4.846319237861258e-5,0.7244038803945835,4.967679370814562e-5,0.9755700551717764,8.469506666666667e-5,2.4284615384615373e-5,2188,0.9439753738044937,0.001,0.681905983025164
CALBTX01,4.843392861146135e-5,0.7244038803945835,1.9542369834097542e-4,0.24784061003161342,7.619803333333333e-5,2.250259615384617e-5,2644,0.9904101560400415,0.136,0.6819544169537755
UBA5518,4.840427937978862e-5,0.7244038803945835,4.8447733822714364e-5,0.9991030655203655,8.317510000000001e-5,2.5717442307692308e-5,742,0.9245658321321388,0.091,0.6820028212331553
JAJXZP01,4.8250716612080576e-5,0.7244038803945835,9.560214326200389e-5,0.5047032939402452,5.978476666666666e-5,4.4838442307692323e-05,5018,0.9979528008982693,0.998,0.6820510719497673
2-12-FULL-35-15,4.811206822078741e-5,0.7244038803945835,1.9039346018710383e-4,0.2526981135460568,3.2328166666666667e-5,6.638273076923071e-5,1559,0.9866700479112707,0.632,0.6820991840179881
VXMF01,4.80684172759273e-5,0.7244038803945835,4.288036472223284e-5,1.1209890024793687,9.61368e-5,0,2029,0.9285871363384902,0.025,0.682147252435264
JAKEFM01,4.762964749589955e-5,0.7244038803945835,3.909630938726883e-5,1.2182645431849761,9.003563333333333e-5,1.7382192307692307e-5,560,0.8536325036401952,0.001,0.6821948820827599
JAUIJL01,4.7606755093210877e-5,0.7244038803945835,3.675114597835248e-5,1.295381513307168,9.141216666666667e-5,1.3301211538461549e-5,1219,0.8716256526194579,0.001,0.6822424888378531
Aureimonas,4.7492361507483324e-5,0.7244038803945835,4.7797307043257095e-5,0.9936200268459101,8.998356666666666e-5,8.462019230769224e-6,196,0.9349998117460327,0.925,0.6822899811993606
Pseudooceanicola,4.7406549360093365e-5,0.7244038803945835,4.6424268723110666e-5,1.0211587745806259,9.29796e-5,7.467769230769228e-6,1977,0.9704884308152426,0.022,0.6823373877487207
JAKALS01,4.729075303170863e-5,0.7244038803945835,1.01580714477492e-4,0.4655485371899722,8.481469999999999e-5,1.384759615384615e-5,3443,0.9999999999999967,0.929,0.6823846785017523
UBA8898,4.721511411073778e-5,0.7244038803945835,4.503869618158051e-5,1.0483232889420846,9.131993333333333e-5,6.6225961538461595e-6,501,0.9255254101578769,0.001,0.6824318936158631
JAJXUF01,4.712098008397023e-5,0.7244038803945835,5.526896557168031e-5,0.8525757556084044,9.199376666666667e-5,5.76946153846154e-6,7635,0.9979119881242418,0.997,0.6824790145959471
Ereboglobus,4.707434410217728e-5,0.7244038803945835,4.863175956620884e-5,0.967975342082549,8.458813333333333e-5,2.1326096153846138e-5,2136,0.9450827975707792,0.001,0.6825260889400493
CAINDV01,4.7046672955684325e-5,0.7244038803945835,4.295771132358109e-5,1.0951857421198008,8.423956666666667e-5,1.957371153846153e-5,952,0.5883444760931474,0.001,0.6825731356130049
Paenibacillus_AN,4.701101766689655e-5,0.7244038803945835,3.59555432169585e-5,1.3074762181516344,9.05156e-5,1.0378596153846159e-5,43,0.8952516275524596,0.001,0.6826201466306718
Schlegelella_A,4.699308940070987e-5,0.7244038803945835,5.0554720704233906e-5,0.9295489866443719,8.844223333333333e-5,8.945557692307685e-6,1141,0.9168546474279323,0.777,0.6826671397200725
Paenibacillus_G,4.6890014894243716e-5,0.7244038803945835,5.487719123219981e-5,0.8544536234706281,8.101976666666667e-5,1.8891365384615382e-5,879,0.8953788284954691,0.742,0.6827140297349668
Amaricoccus,4.6792828704724094e-5,0.7244038803945835,5.342177370782426e-5,0.8759130492492563,9.027393333333333e-5,9.106807692307695e-6,610,0.42289540095562345,0.006,0.6827608225636714
Clostridium_F,4.6792256638386996e-5,0.7244038803945835,9.318644191713566e-5,0.5021358866775508,3.68084e-5,7.21804423076923e-5,3728,0.9999999999999967,0.368,0.6828076148203098
Noviherbaspirillum_A,4.671111041147664e-5,0.7244038803945835,5.7745586344014564e-5,0.8089122194239929,8.031696666666667e-5,2.1282711538461537e-5,306,0.9685958342845608,0.04,0.6828543259307213
Clostridium_AD,4.666772572947006e-5,0.7244038803945835,1.9590361744158412e-4,0.23821778453573356,2.0247666666666662e-5,7.843319230769227e-5,2398,0.9917382462093346,0.66,0.6829009936564507
Lysobacter_F,4.6620123251903174e-5,0.7244038803945835,1.098657515582101e-4,0.42433718051983166,2.6359233333333333e-5,7.373959615384618e-5,3664,0.9999999999999967,0.978,0.6829476137797026
Rhizobium_C,4.6588082014427756e-5,0.7244038803945835,3.9424604368229616e-5,1.1817006856756396,9.372739999999999e-5,5.06146153846154e-6,775,0.9712729273672479,0.001,0.682994201861717
Holophaga,4.656700276942174e-5,0.7244038803945835,5.6849405762316796e-5,0.8191291033738324,9.051313333333333e-5,5.779057692307691e-6,2742,0.7514049812757556,0.95,0.6830407688644864
Protofrankia,4.651756968839524e-5,0.7244038803945835,3.951041185072199e-5,1.177349653153393,9.338896666666667e-5,2.504115384615385e-6,981,0.9039983426371043,0.001,0.6830872864341748
JAKATQ01,4.650937526604253e-5,0.7244038803945835,1.284646485644459e-4,0.3620402638840406,2.6648133333333333e-5,7.157426923076925e-5,3277,0.9999999999999967,0.992,0.6831337958094409
JAEUKH01,4.644902433307954e-5,0.7244038803945835,3.7954157850100994e-5,1.2238191271830825,9.311133333333333e-5,8.890538461538461e-6,2378,0.8146295557582014,0.001,0.6831802448337739
Hanamia,4.63818644976572e-5,0.7244038803945835,1.586150536557246e-4,0.2924177966003747,3.6513299999999995e-5,5.905917307692307e-5,371,0.9804263297083572,1,0.6832266266982716
Aerophototrophica,4.6359069160473404e-5,0.7244038803945835,4.798230599903762e-5,0.9661700953139523,9.33289e-5,6.421615384615382e-6,6072,0.9339369329513498,0.001,0.6832729857674321
JAIBCL01,4.6295278002936606e-5,0.7244038803945835,4.9703437514659174e-5,0.9314301045935225,8.269326666666667e-5,1.9118384615384614e-5,5971,0.8357938716958303,0.001,0.683319281045435
Isoalcanivorax,4.57103405095264e-5,0.7244038803945835,2.1458021926291376e-4,0.21302215398298174,8.581856666666666e-5,6.2507115384615375e-6,2434,0.9948025938929943,0.168,0.6833649913859445
CALARR01,4.5570233697108295e-5,0.7244038803945835,4.3044662825828596e-5,1.0586732641279804,7.863526666666666e-5,2.1574576923076925e-5,863,0.6293959244714613,0.001,0.6834105616196416
Anaeromyxobacter_B,4.5563409407243395e-5,0.7244038803945835,5.8134787833507195e-5,0.7837546347934201,8.185433333333333e-5,1.7830846153846155e-5,2843,0.4381308932249197,0.979,0.6834561250290488
JAJZIF01,4.555784429261171e-5,0.7244038803945835,5.3836471951660035e-5,0.8462264082519796,4.97844e-5,6.734365384615386e-5,3261,0.9999999999999967,0.997,0.6835016828733415
Paracidovorax,4.5511912000525926e-5,0.7244038803945835,4.9826174876642186e-5,0.9134137250792911,7.68878e-5,2.5003057692307696e-5,597,0.8987260080012717,0.006,0.683547194785342
SYKU01,4.549551557238666e-5,0.7244038803945835,5.829926246918826e-5,0.7803789215417861,9.0991e-5,0,243,0.9153667685757628,0.001,0.6835926903009144
Chthoniobacter,4.549063031082376e-5,0.7244038803945835,5.551229865308956e-5,0.8194694043405812,8.53634e-5,1.1822326923076927e-5,6096,0.674115291281878,0.103,0.6836381809312252
Methylocella,4.543263674935274e-5,0.7244038803945835,1.4745585713368608e-4,0.30811008550282754,1.731053333333334e-5,7.621786538461532e-5,2143,0.9991843627589974,0.419,0.6836836135679746
JAJYJO01,4.5427373552679414e-5,0.7244038803945835,1.462614032651258e-4,0.31059030296826784,9.085483333333332e-5,0,7711,0.9980111336850066,0.057,0.6837290409415273
JAJYVB01,4.5253689177004075e-5,0.7244038803945835,9.477840204248922e-5,0.4774683704491749,4.529513333333333e-5,5.905103846153845e-5,4011,0.9980649292042009,1,0.6837742946307043
SDU3-3,4.5129150198373366e-5,0.7244038803945835,4.186224352545372e-5,1.0780394550744337,8.631023333333333e-5,1.2854538461538466e-5,7392,0.9720882342486244,0.001,0.6838194237809027
JAJZPE01,4.5012875853575534e-5,0.7244038803945835,2.1879618719170324e-4,0.20572970869065685,9.002506666666669e-5,0,3638,0.9999999999999967,0.67,0.6838644366567562
PNKE01,4.500029697406856e-5,0.7244038803945835,5.7009898458180124e-5,0.7893418194224419,9.000053333333333e-5,0,4541,0.8946130789378863,0.526,0.6839094369537303
Avipropionibacterium,4.4983485909481664e-5,0.7244038803945835,2.3508172224720797e-4,0.19135254531689108,8.996713333333333e-5,0,6570,0.9882824181976435,0.2,0.6839544204396398
Draconibacterium,4.4979746818065164e-5,0.7244038803945835,1.962944264309962e-4,0.2291442891980277,2.3859100000000003e-5,6.793565384615392e-5,6824,0.9928414741950992,0.666,0.6839994001864579
Pannonibacter,4.4821235418245536e-5,0.7244038803945835,5.8457222293101996e-5,0.7667356343671923,6.803406666666666e-5,3.564434615384614e-5,2312,0.9697137269502042,0.363,0.6840442214218762
CAMYLJ01,4.481874212358157e-5,0.7244038803945835,5.647518347109628e-5,0.793600646671995,7.517663333333333e-5,2.2671499999999995e-5,944,0.6515552364802325,0.002,0.6840890401639997
VFZS01,4.4757447446456675e-5,0.7244038803945835,5.0155893690066784e-5,0.8923666622915892,7.807409999999999e-5,1.7446461538461558e-5,964,0.9273280381708792,0.001,0.6841337976114462
JAKAUM01,4.4616200348264245e-5,0.7244038803945835,8.727283137082e-5,0.5112266858707857,5.6306833333333334e-5,4.177982692307692e-5,656,0.9846005161913267,0.55,0.6841784138117945
QWOP01,4.4539846872334075e-5,0.7244038803945835,3.6619613575325764e-5,1.2162839124644655,8.648603333333334e-5,5.920019230769227e-6,1897,0.9068931327825513,0.001,0.6842229536586668
JAEUHO01,4.449087370628108e-5,0.7244038803945835,6.424601257645283e-5,0.6925079381905125,8.898156666666667e-5,0,6027,0.9557663423567392,0.001,0.6842674445323731
JAEUWI01,4.4479337292177063e-5,0.7244038803945835,4.0511376761607446e-5,1.0979468200727764,8.644766666666666e-5,5.808307692307688e-6,916,0.8165412453395463,0.001,0.6843119238696652
GCA-2687015,4.4448285656110716e-5,0.7244038803945835,4.4090134340796496e-5,1.0081231622599713,8.889653333333333e-5,0,1206,0.7270866297974949,0.004,0.6843563721553213
JAKOVQ01,4.431427485788928e-5,0.7244038803945835,5.7710461816895355e-5,0.7678724699603046,7.532786666666667e-5,2.5142999999999996e-5,1802,0.9815988730252803,0.998,0.6844006864301792
Acanthopleuribacter,4.428060068727876e-5,0.7244038803945835,5.807927910597646e-5,0.7624164998067652,7.771286666666667e-5,1.662580769230768e-5,2626,0.9330871626002168,0.003,0.6844449670308664
Sarcina,4.422779947243738e-5,0.7244038803945835,9.574614315328017e-5,0.4619277394979035,4.5921966666666665e-5,5.404255769230769e-5,5183,0.9998079659701032,0.426,0.6844891948303389
CADEEJ01,4.422767987551569e-5,0.7244038803945835,3.6771949293540745e-5,1.2027559246984112,8.845536666666667e-5,0,1736,0.5657654338315676,0.001,0.6845334225102144
JAICLL01,4.416881519409189e-5,0.7244038803945835,3.864020823117505e-5,1.1430791192904686,8.833759999999999e-5,0,4501,0.837415569891928,0.001,0.6845775913254085
Pseudorivibacter,4.405452903258416e-5,0.7244038803945835,4.222127732888971e-5,1.0434200909985272,8.131506666666667e-5,1.2973096153846147e-5,511,0.970549694436499,0.017,0.6846216458544411
CAINDZ01,4.3982915214526154e-5,0.7244038803945835,3.992674722543719e-5,1.1015902439080936,8.507266666666667e-5,6.165173076923079e-6,1299,0.5895038693453317,0.001,0.6846656287696556
JAVDCA01,4.396070707202914e-5,0.7244038803945835,5.643248435138583e-5,0.7789964871704178,8.33834e-5,7.745057692307684e-6,526,0.872763808686522,0.001,0.6847095894767277
CAIKXV01,4.39438611340472e-5,0.7244038803945835,3.55391064359911e-5,1.2364931350537405,8.939873333333334e-5,6.2682115384615446e-6,2740,0.5775488142467228,0.03,0.6847535333378617
CALKWS01,4.39047847652132e-5,0.7244038803945835,2.1514889709304386e-4,0.2040669757476192,8.429453333333332e-5,3.9427692307692314e-6,1358,0.990719706124321,0.075,0.684797438122627
JAJYRW01,4.388528332650434e-5,0.7244038803945835,2.213791762338164e-4,0.198235823590533,8.490729999999999e-5,3.1734423076923074e-6,1743,0.9980441530388922,0.133,0.6848413234059535
Vreelandella,4.388375426818874e-5,0.7244038803945835,8.636133359899537e-5,0.5081412298697902,6.341383333333333e-5,3.315528846153845e-5,3112,0.9999999999999967,0.683,0.6848852071602217
JAIQEU01,4.388044267474997e-5,0.7244038803945835,8.078092785195465e-5,0.5432030039958027,8.776086666666666e-5,0,2110,0.8401574548906011,0.001,0.6849290876028965
JOPF074,4.3817771875200174e-5,0.7244038803945835,5.655198540117105e-5,0.7748228742875015,7.996683333333334e-5,1.5546000000000007e-5,127,0.8732491986828337,0.001,0.6849729053747717
CAJQQY01,4.379884843909739e-5,0.7244038803945835,1.622614719767352e-4,0.26992759220979584,2.629193333333333e-5,6.493374999999998e-5,7258,0.9901729617600848,0.508,0.6850167042232108
JAKAGC01,4.3648289048510454e-05,0.7244038803945835,1.4786503429239692e-4,0.2951900647599877,3.3935599999999994e-5,5.780026923076921e-5,1915,0.9981943288207904,0.949,0.6850603525122593
Aminobacter,4.3620244547087224e-5,0.7244038803945835,4.284295756859398e-5,1.0181427012187187,8.448693333333334e-5,8.23846153846154e-6,1077,0.42546060781756057,0.561,0.6851039727568063
AG11,4.354009952467661e-5,0.7244038803945835,6.286801883038523e-5,0.692563569438153,8.418133333333332e-5,5.58492307692308e-6,961,0.23544458774507254,0.708,0.685147512856331
Pedococcus,4.3518949184955514e-5,0.7244038803945835,8.157678932652998e-5,0.5334721989457178,8.703793333333332e-5,0,6132,0.8998131583348954,0.001,0.685191031805516
Methylacidimicrobium,4.3513672163777615e-5,0.7244038803945835,1.1193207211626261e-4,0.38875070693393793,8.702723333333335e-5,0,6672,0.9999999999999967,0.002,0.6852345454776798
Bog-105,4.3468975472918517e-5,0.7244038803945835,9.455171515951864e-5,0.4597375668921691,8.69379e-5,0,904,0.5266512739825759,0.516,0.6852780144531527
JAKLKQ01,4.342263750859531e-5,0.7244038803945835,5.0052007471474456e-5,0.8675503681514204,8.38966e-5,8.13605769230769e-6,1937,0.9631251110626645,0.001,0.6853214370906613
UBA11346,4.3414458158287386e-5,0.7244038803945835,5.11661101238499e-5,0.8485002681110742,8.018933333333333e-5,9.72376923076922e-6,6018,0.9740664567244955,0.032,0.6853648515488195
GWC1-27-15,4.3385849921865104e-5,0.7244038803945835,8.084683836513533e-5,0.5366425057454686,2.8922766666666667e-5,7.386771153846154e-5,3037,0.9939875907538741,0.284,0.6854082373987415
CADCTB01,4.337344267349935e-5,0.7244038803945835,3.3378403492208074e-5,1.2994462926791732,8.268273333333334e-5,1.908192307692308e-5,2253,0.550493380685742,0.001,0.6854516108414149
SXOX01,4.335473831260077e-5,0.7244038803945835,3.624645676157258e-5,1.1961096941912452,8.137713333333334e-5,8.462211538461538e-6,1243,0.9148650357343893,0.001,0.6854949655797276
Rubrivivax_A,4.33309969431743e-5,0.7244038803945835,6.462867479892397e-5,0.670460860879291,8.565726666666668e-5,3.2215192307692297e-6,1383,0.9786416472998176,0.454,0.6855382965766708
Fen-330,4.3284675882720764e-5,0.7244038803945835,6.271730278602469e-5,0.6901552515802051,8.65693e-5,0,5050,0.7215049253530027,0.001,0.6855815812525535
Oceanitalea,4.3262522444812794e-5,0.7244038803945835,1.726816387036017e-4,0.2505334253809722,7.241393333333333e-5,1.557871153846154e-5,4364,0.9993538021756737,0.078,0.6856248437749983
Nocardiopsis_B,4.3257821171859836e-5,0.7244038803945835,6.698589068537209e-5,0.6457751136733959,8.165703333333332e-5,9.684153846153848e-6,2668,0.8884425595837278,0.006,0.6856681015961702
Pseudomonas_B,4.3029631368773246e-5,0.7244038803945835,4.826558094817852e-5,0.8915179414285519,7.860263333333333e-5,1.5685153846153854e-5,1306,0.9704577353231628,0.001,0.685711131227539
Lactococcus,4.3013987426196035e-5,0.7244038803945835,2.101481724123038e-4,0.20468408995631907,2.5966666666666662e-6,8.363103846153848e-5,6145,0.9990190460730678,0.776,0.6857541452149652
JAJZUD01,4.2974880349906295e-05,0.7244038803945835,1.3600847095665021e-4,0.3159720865004329,5.818863333333334e-5,3.132465384615383e-5,6603,0.9999999999999967,0.052,0.6857971200953151
JAVDDU01,4.296084387930304e-5,0.7244038803945835,2.101637661600254e-4,0.20441603547678758,8.03573e-5,6.134249999999998e-6,1971,0.9989610628691512,0.117,0.6858400809391945
JABMRB01,4.288864520589536e-5,0.7244038803945835,4.226731126242485e-5,1.0147001057061054,7.385513333333334e-5,2.0443884615384617e-5,1036,0.7693460314728375,0.001,0.6858829695844003
UBA6663,4.288661035305504e-5,0.7244038803945835,4.206737638320924e-5,1.0194743299982165,8.577316666666667e-5,0,6006,0.9249160285917477,0.001,0.6859258561947533
GCA-2702655,4.281751478569519e-5,0.7244038803945835,3.985705532860642e-5,1.0742769236884386,8.5635e-5,0,5846,0.729268511604771,0.001,0.6859686737095391
Bernardetia,4.2792171580445184e-5,0.7244038803945835,1.5663765142998588e-4,0.27319211690027473,2.4261500000000005e-5,6.484019230769228e-5,1928,0.9887464646689581,0.465,0.6860114658811195
JADGRF01,4.275741813480134e-5,0.7244038803945835,4.402916064073646e-5,0.9711159039275783,8.356913333333333e-5,5.159884615384621e-6,1257,0.7987365048606645,0.002,0.6860542232992543
VFJJ01,4.2719937041294454e-5,0.7244038803945835,3.544198067185902e-5,1.2053484661824823,8.17565e-5,1.2691403846153849e-5,9094,0.9267322609330427,0.001,0.6860969432362956
Prauserella_B,4.269488885619504e-5,0.7244038803945835,4.161735686698969e-5,1.0258914085449773,7.768496666666667e-5,2.1164096153846152e-5,2283,0.9036588566433467,0.001,0.6861396381251518
Microcella,4.2689259274448554e-5,0.7244038803945835,1.1676135775663683e-4,0.3656111927323152,7.329339999999999e-5,1.493309615384616e-5,2550,0.9992197274899592,0.573,0.6861823273844262
Lautropia,4.2633582458108244e-5,0.7244038803945835,4.031437286661181e-5,1.0575281078827645,8.543976666666667e-5,2.2238076923076912e-6,5108,0.9672062140109317,0.01,0.6862249609668843
JAEUKZ01,4.2577610370292594e-5,0.7244038803945835,5.4731559001423406e-5,0.7779352744032977,7.689206666666666e-5,1.7326673076923074e-5,1271,0.9560553877774057,0.002,0.6862675385772546
Gp6-AA38,4.244962203774381e-5,0.7244038803945835,4.8558542072650654e-5,0.8741947395008892,6.820546666666667e-5,2.7186903846153863e-5,97,0.7448264536072262,0.01,0.6863099881992923
GCA-2402195,4.239331824795872e-5,0.7244038803945835,8.11540815909734e-5,0.5223806051016174,8.152980000000001e-5,5.860673076923074e-6,2429,0.9938031519939771,0.011,0.6863523815175403
Terrisporobacter,4.2377686452806095e-5,0.7244038803945835,7.676100960541325e-5,0.5520730729135379,4.989736666666666e-5,4.73560576923077e-5,5622,0.9863264117363326,0.181,0.6863947592039931
JAAYCB01,4.237220744108277e-5,0.7244038803945835,3.702616890603599e-5,1.144385408833785,8.232583333333334e-5,5.58492307692308e-6,1082,0.7628214580077339,0.001,0.6864371314114341
CALHXW01,4.234548765439762e-5,0.7244038803945835,3.591479819454891e-5,1.179054032964739,8.35861e-5,4.192192307692305e-6,2763,0.6385774972184601,0.001,0.6864794768990885
JAKSBE01,4.2343515115488565e-5,0.7244038803945835,4.215178926852891e-5,1.0045484628360202,8.026593333333333e-5,7.50821153846154e-6,1328,0.963354573634411,0.002,0.686521820414204
JAJZEL01,4.2269157771049756e-5,0.7244038803945835,7.358466037967098e-5,0.5744289306080338,8.453826666666665e-5,0,4727,0.9980825760507517,0.899,0.686564089571975
JAHDVP01,4.2211936377739655e-5,0.7244038803945835,3.803263863877838e-5,1.1098871361162943,8.30886e-5,7.013288461538463e-6,1342,0.8322570042831938,0.037,0.6866063015083528
SMWN01,4.2125019763126276e-5,0.7244038803945835,3.0092928084450126e-4,0.13998312043583913,0,8.425003846153845e-5,6502,0.9999999999999967,0.517,0.6866484265281159
JAIFNL01,4.212367477000975e-5,0.7244038803945835,1.3125784724416796e-4,0.32092309644276434,2.6966933333333334e-5,6.44435e-5,1695,0.9975626900990394,0.408,0.6866905502028858
CAIQDX01,4.2066000118069075e-5,0.7244038803945835,1.2166464529651081e-4,0.34575369052816757,3.614733333333335e-5,5.1823673076923076e-5,6848,0.9896289255667166,0.198,0.6867326162030039
Chelatococcus,4.199353658406024e-5,0.7244038803945835,4.5590939810823506e-5,0.9210939006370467,8.398706666666667e-5,0,821,0.6689657908596953,0.001,0.6867746097395879
JAAFIN01,4.175325441941086e-5,0.7244038803945835,9.98103585081044e-5,0.41832586360283014,3.244553333333333e-5,6.268100000000002e-5,7808,0.9950624154363618,0.315,0.6868163629940074
40CM-68-15,4.1592631394749206e-5,0.7244038803945835,4.384652269147669e-5,0.9485958940783777,7.585453333333333e-5,1.3165673076923083e-5,2747,0.16236536079194813,0.001,0.6868579556254022
SLRI01,4.158207635610347e-5,0.7244038803945835,4.031614408971867e-5,1.0314001325019482,7.536356666666666e-5,1.358275000000001e-5,460,0.9142602794842696,0.001,0.6868995377017583
Cutibacterium,4.1557171590501704e-5,0.7244038803945835,1.3015243726625982e-4,0.31929614583771465,5.989803333333334e-5,2.635986538461538e-5,7444,0.9855898673173172,0.479,0.6869410948733488
JABHEG01,4.146939959136684e-5,0.7244038803945835,3.2761808243050585e-5,1.2657848212686276,7.883426666666666e-5,1.2364461538461535e-5,936,0.7689508769859473,0.001,0.6869825642729401
TEKIR-8,4.144876870756729e-5,0.7244038803945835,1.4332931567431084e-4,0.28918556202243995,3.195586666666666e-5,5.5522442307692284e-5,3872,0.9999999999999967,0.398,0.6870240130416477
JAJYLG01,4.138895658114465e-5,0.7244038803945835,1.859459901025111e-4,0.22258590550044732,8.277800000000001e-5,0,7538,0.9980201734979868,0.155,0.6870654019982289
JAKQDD01,4.137469647919353e-5,0.7244038803945835,3.723621928285319e-5,1.1111411758778116,8.274936666666666e-5,0,877,0.8553793928740303,0.001,0.6871067766947081
JADJCH01,4.1266376316554653e-5,0.7244038803945835,4.159605378263679e-5,0.9920743090725651,7.626533333333334e-5,1.65195e-5,1311,0.9543449685651844,0.059,0.6871480430710246
J016,4.120930444268771e-5,0.7244038803945835,5.2209538490409606e-5,0.7893060470216083,7.59759e-5,1.3733730769230776e-5,497,0.756363456685176,0.001,0.6871892523754674
Fen-1137,4.1196986057521446e-5,0.7244038803945835,3.7398892013971514e-5,1.101556325308542,8.272626666666666e-5,1.7461538461538466e-6,55,0.7179931843920679,0.102,0.6872304493615249
Humisphaera,4.119457467325961e-5,0.7244038803945835,4.480455183344273e-5,0.9194283390312011,8.238913333333333e-5,0,4554,0.7523175986177852,0.001,0.6872716439361981
Paenalcaligenes,4.1183208992309144e-5,0.7244038803945835,1.9914463342891655e-4,0.20680049611785917,7.747393333333332e-5,5.38523076923077e-6,2631,0.9994319424843378,0.136,0.6873128271451904
GCA-2726245,4.1095660187637236e-5,0.7244038803945835,5.0335027367292485e-5,0.8164425915131427,7.63611e-5,1.1282673076923076e-5,522,0.7303516570688486,0.572,0.687353922805378
CAIVVT01,4.107536055918652e-5,0.7244038803945835,6.452259746457557e-5,0.6366042622778456,8.21507e-5,0,239,0.6084797258054156,0.001,0.6873949981659372
JAJXXC01,4.097053082792909e-5,0.7244038803945835,1.0305094222370341e-4,0.39757550919806334,7.660456666666669e-5,7.277019230769222e-6,3166,0.9979340456255081,0.036,0.6874359686967652
JABXJV01,4.096878626955656e-5,0.7244038803945835,1.0031830562214986e-4,0.40838794091943703,2.952233333333333e-5,6.141257692307694e-5,2997,0.99561573974817,0.355,0.6874769374830347
JAFEEF01,4.092830391363013e-5,0.7244038803945835,5.631461872936249e-5,0.7267793840587626,6.994463333333333e-5,1.717594230769232e-5,422,0.8228868282008294,0.023,0.6875178657869484
JAEUKA01,4.085536676334245e-5,0.7244038803945835,8.099540763345373e-5,0.504415842293605,8.171046666666667e-5,0,4578,0.8143554654719619,0.008,0.6875587211537117
